                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 3.6691,                 3.2227,                 2.7974,                0.02888,                0.05804,                0.01061,                0.00216,                    nan,                    nan,                    nan,             5.4545e-06,             5.4545e-06,             5.4545e-06
                     94,                  3.646,                 3.1518,                 2.7784,                0.01176,                0.17586,                 0.0095,                0.00203,                    nan,                    nan,                    nan,             5.4046e-06,             5.4046e-06,             5.4046e-06
                     95,                 3.6098,                 3.2129,                  2.776,                 0.0126,                0.16035,                 0.0103,                0.00208,                    nan,                    nan,                    nan,             5.3547e-06,             5.3547e-06,             5.3547e-06
                     96,                 3.6492,                  3.206,                 2.7965,                0.02715,                0.09041,                0.00974,                  0.002,                    nan,                    nan,                    nan,             5.3047e-06,             5.3047e-06,             5.3047e-06
                     97,                 3.6422,                 3.1727,                 2.7911,                0.01804,                0.14886,                 0.0103,                0.00212,                    nan,                    nan,                    nan,             5.2548e-06,             5.2548e-06,             5.2548e-06
                     98,                 3.5932,                 3.1984,                 2.7678,                0.00617,                0.19445,                0.00989,                0.00213,                    nan,                    nan,                    nan,             5.2048e-06,             5.2048e-06,             5.2048e-06
                     99,                  3.647,                 3.1717,                 2.7851,                0.02494,                 0.0975,                0.00902,                0.00198,                    nan,                    nan,                    nan,             5.1549e-06,             5.1549e-06,             5.1549e-06
                    100,                 3.5663,                 3.1622,                 2.7599,                0.02374,                 0.0975,                0.00907,                0.00202,                    nan,                    nan,                    nan,             5.1049e-06,             5.1049e-06,             5.1049e-06
                    101,                 3.6164,                  3.168,                 2.7743,                0.03147,                0.02702,                0.00807,                0.00188,                    nan,                    nan,                    nan,              5.055e-06,              5.055e-06,              5.055e-06
                    102,                 3.5586,                 3.1736,                 2.7609,                0.01999,                0.12893,                 0.0086,                0.00197,                    nan,                    nan,                    nan,              5.005e-06,              5.005e-06,              5.005e-06
                    103,                 3.6144,                 3.1987,                 2.7706,                0.02141,                0.10152,                0.00822,                0.00185,                    nan,                    nan,                    nan,             4.9551e-06,             4.9551e-06,             4.9551e-06
                    104,                 3.5717,                 3.1967,                 2.7759,                 0.0321,                0.04828,                0.00924,                0.00217,                    nan,                    nan,                    nan,             4.9051e-06,             4.9051e-06,             4.9051e-06
